Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.089000e-03,0.0134375,-0.0289063,0.19375,-0.000926563
-1.088000e-03,0.01875,-0.065625,0.195312,-0.00102031
-1.087000e-03,0.01875,-0.116406,0.220313,-0.00093625
-1.086000e-03,0.003125,-0.0664062,0.215625,-0.00101156
-1.085000e-03,0.02375,-0.0148437,0.317187,-0.00088625
-1.084000e-03,0.01875,0.0210937,0.217187,-0.000986563
-1.083000e-03,0.0034375,-0.00390625,0.267188,-0.000916563
-1.082000e-03,0.0234375,-0.0914063,0.167188,-0.00087625
-1.081000e-03,0.0040625,-0.0273438,0.295312,-0.00095125
-1.080000e-03,0.0334375,-0.028125,0.16875,-0.000916563
-1.079000e-03,0.02875,-0.040625,0.21875,-0.00063125
-1.078000e-03,0.03875,-0.0664062,0.217187,-0.000655938
-1.077000e-03,0.02375,-0.0296875,0.21875,-0.00069625
-1.076000e-03,0.034375,-0.015625,0.270312,-0.000670625
-1.075000e-03,0.0234375,-0.0398438,0.29375,-0.00082625
-1.074000e-03,0.0090625,-0.0148437,0.245313,-0.000775938
